Time,Condition,Row,Column,Sorted status,In Regions,Gate,TOF,Extinction,Green
T0,High -,A,2,6,01011,R4,1537,2204,2191
T0,High -,A,2,6,01011,R4,2362,2973,1628
T0,High -,A,2,6,01011,R4,1943,2781,1596
T0,High -,A,2,6,01011,R4,1996,1655,1220
T0,High -,A,2,6,01011,R4,1737,2628,2585
T0,High -,A,2,6,01011,R4,1313,2001,850
T0,High -,A,2,6,01011,R4,1652,2233,2074
T0,High -,A,2,6,01011,R4,2303,3089,1065
T0,High -,A,2,6,01011,R4,2412,3136,1456
T0,High -,A,2,6,01011,R4,2168,3256,2155
T0,High -,A,2,6,01011,R4,1902,2030,1210
T0,High -,A,2,6,01011,R4,1579,2457,910
T0,High -,A,2,10,01011,R4,1707,2093,1257
T0,High -,A,2,9,01011,R4,1415,1818,2848
T0,High -,A,2,6,01011,R4,2157,2351,2403
T0,High -,A,2,9,01011,R4,2708,3126,2074
T0,High -,A,2,6,01011,R4,2449,2951,3882
T0,High -,A,2,6,01011,R4,2230,3000,3408
T0,High -,A,2,6,01011,R4,2118,2480,1861
T0,High -,A,2,6,01011,R4,2128,2681,2430
T0,High -,A,2,0,10011,R5,2243,2722,507
T0,High -,A,2,1,10011,R5,2474,3394,194
T0,High -,A,2,1,10011,R5,1779,2480,386
T0,High -,A,2,1,10011,R5,2115,1983,275
T0,High -,A,2,1,10011,R5,2147,3008,189
T0,High -,A,2,1,10011,R5,1893,2951,287
T0,High -,A,2,1,10011,R5,1572,1730,129
T0,High -,A,2,1,10011,R5,2228,2912,182
T0,High -,A,2,1,10011,R5,1982,1999,349
T0,High -,A,2,1,10011,R5,1418,1819,162
T0,High -,A,2,1,10011,R5,1737,2659,457
T0,High -,A,2,1,10011,R5,2167,2783,531
T0,High -,A,2,1,10011,R5,1661,2707,327
T0,High -,A,2,1,10011,R5,1884,2156,222
T0,High -,A,2,1,10011,R5,1759,2589,347
T0,High -,A,2,1,10011,R5,1650,2056,505
T0,High -,A,2,16,10011,R5,2276,2717,342
T0,High -,A,2,1,10011,R5,2283,3027,431
T0,High -,A,2,1,10011,R5,1923,2625,250
T0,High -,A,2,1,10111,R5,2017,2383,66.7
T0,High -,A,2,1,10011,R5,1942,2338,514
T0,High -,A,2,1,10011,R5,1965,2579,391
T0,High -,A,2,1,10111,R5,1602,1573,47.6
T0,High -,A,2,1,10011,R5,2565,2712,195
T0,High -,A,2,1,10011,R5,1878,2421,322
T0,High -,A,2,1,10111,R5,2093,2775,79.6
T0,High -,A,2,1,10011,R5,1828,2354,269
T0,High -,A,2,1,10011,R5,2284,3321,471
T0,High -,A,2,1,10011,R5,1298,1993,344
T0,High -,A,2,1,10111,R5,1853,2203,96.8
T0,High -,A,2,1,10011,R5,2185,2888,312
T0,High -,A,2,1,10011,R5,2041,2789,449
T0,High -,A,2,1,10011,R5,2128,2332,265
T0,Low +,B,1,0,00011,R2,2488,3066,786
T0,Low +,B,1,1,00011,R2,2242,2618,827
T0,Low +,B,1,1,00011,R2,2082,2816,861
T0,Low +,B,1,1,00011,R2,1262,1764,666
T0,Low +,B,1,1,00011,R2,2014,2907,595
T0,Low +,B,1,1,00011,R2,2169,2625,828
T0,Low +,B,1,1,00011,R2,1397,2351,678
T0,Low +,B,1,1,00011,R2,1650,1877,574
T0,Low +,B,1,1,00011,R2,2725,3353,942
T0,Low +,B,1,1,00011,R2,1259,1742,514
T0,Low +,B,1,1,00011,R2,1492,2414,683
T0,Low +,B,1,1,00011,R2,1996,2693,773
T0,Low +,B,1,1,00011,R2,1224,1958,1992
T0,Low +,B,1,1,00011,R2,2004,3052,877
T0,Low +,B,1,1,00011,R2,1971,2937,823
T0,Low +,B,1,1,00011,R2,2679,2738,925
T0,Low +,B,1,1,00011,R2,2096,2406,585
T0,Low +,B,1,1,00011,R2,1498,2370,833
T0,Low +,B,1,1,00011,R2,1387,2042,501
T0,Low +,B,1,1,00011,R2,1500,2641,617
T0,Low +,B,1,1,00011,R2,1223,2048,569
T0,Low +,B,1,1,00011,R2,1840,2671,809
T0,Low +,B,1,1,00011,R2,2217,2770,603
T0,Low +,B,1,1,00011,R2,1701,2553,705
T0,Low +,B,1,1,00011,R2,2120,2887,755
T0,Low +,B,1,1,00011,R2,1748,2378,579
T0,Low +,B,1,1,00011,R2,2166,2669,813
T0,Low +,B,1,1,00011,R2,1911,2962,654
T0,Low +,B,1,1,00011,R2,2595,3098,838
T0,Low +,B,1,1,00011,R2,2238,3098,660
T0,Low +,B,1,1,00011,R2,1733,2546,822
T0,Low +,B,1,1,00011,R2,1843,2578,681
T0,Low +,B,1,1,00011,R2,1603,2143,679
T0,Low +,B,1,1,00011,R2,2302,2816,659
T0,Low +,B,1,1,00011,R2,2267,2753,857
T0,Low +,B,1,1,00011,R2,2138,2948,906
T0,Low +,B,1,1,00011,R2,2682,2419,1025
T0,Low +,B,1,1,00011,R2,2145,2527,719
T0,Low +,B,1,1,00011,R2,1820,2714,843
T0,Low +,B,1,1,00011,R2,2187,2447,707
T0,Low +,B,1,1,00011,R2,1999,2468,764
T0,Low +,B,1,1,00011,R2,2373,2761,742
T0,Low +,B,1,1,00011,R2,2425,2895,698
T0,Low +,B,1,1,00011,R2,1868,1894,719
T0,Low +,B,1,1,00011,R2,2458,2961,1021
T0,Low +,B,1,1,00011,R2,2185,2235,913
T0,Low +,B,1,1,00011,R2,1782,2049,728
T0,Low +,B,1,1,00011,R2,2278,2904,708
T0,Low +,B,1,1,00011,R2,1737,2144,767
T0,Low +,B,1,1,00011,R2,1358,2202,666
T0,Low +,B,1,1,00011,R2,1383,2031,671
T0,Low +,B,1,1,00011,R2,2144,3151,870
T0,Low +,B,1,1,00011,R2,2227,3029,896
T0,Low +,B,1,1,00011,R2,1915,2549,535
T0,Low +,B,1,1,00011,R2,2162,2853,787
T0,Low +,B,1,1,00011,R2,2003,2656,566
T0,Low +,B,1,1,00011,R2,1452,2333,659
T0,Low +,B,1,1,00011,R2,1986,2459,744
T0,Low +,B,1,1,00011,R2,2487,3268,943
T0,Low +,B,1,1,00011,R2,2138,1983,680
T0,Low +,B,1,1,00011,R2,2361,3018,721
T0,Low +,B,1,1,00111,R3,2147,2032,43.7
T0,Low +,B,1,1,00111,R3,1711,2014,46
T0,Low +,B,1,1,00111,R3,2012,2410,47.3
T0,Low +,B,1,0,01011,R4,2276,2448,1777
T0,Low +,B,1,1,01011,R4,1968,2800,1296
T0,Low +,B,1,1,01011,R4,2714,2813,1247
T0,Low +,B,1,1,01011,R4,2471,2545,1096
T0,Low +,B,1,1,01011,R4,2311,3039,2956
T0,Low +,B,1,1,01011,R4,1770,1376,1447
T0,Low +,B,1,1,01011,R4,1616,2474,1048
T0,Low +,B,1,1,01011,R4,2098,2644,2073
T0,Low +,B,1,1,01011,R4,2018,2918,1538
T0,Low +,B,1,1,01011,R4,2323,3376,2920
T0,Low +,B,1,1,01011,R4,2273,2720,1360
T0,Low +,B,1,1,01011,R4,1560,1841,881
T0,Low +,B,1,1,01011,R4,2754,3452,1328
T0,Low +,B,1,1,01011,R4,1975,2308,1634
T0,Low +,B,1,1,01011,R4,2032,2242,2376
T0,Low +,B,1,1,01011,R4,2207,2769,3736
T0,Low +,B,1,1,01011,R4,1821,2281,1155
T0,Low +,B,1,1,01011,R4,1962,2339,1558
T0,Low +,B,1,1,01011,R4,2102,2583,1270
T0,Low +,B,1,1,01011,R4,1993,2649,2690
T0,Low +,B,1,1,01011,R4,2595,4159,2086
T0,Low +,B,1,1,01011,R4,2525,2944,3195
T0,Low +,B,1,1,01011,R4,2506,2883,1731
T0,Low +,B,1,1,01011,R4,2287,2092,1061
T0,Low +,B,1,1,01011,R4,1844,2228,2592
T0,Low +,B,1,1,01011,R4,2426,2646,2696
T0,Low +,B,1,1,01011,R4,2305,3454,1221
T0,Low +,B,1,1,01011,R4,1914,2637,1077
T0,Low +,B,1,1,01011,R4,2440,3316,1853
T0,Low +,B,1,1,01011,R4,1770,2210,2085
T0,Low +,B,1,1,01011,R4,1554,1806,2440
T0,Low +,B,1,1,01011,R4,2302,2465,1181
T0,Low +,B,1,1,01011,R4,1638,2609,1067
T0,Low +,B,1,1,01011,R4,2043,2700,1482
T0,Low +,B,1,1,01011,R4,1808,1369,1603
T0,Low +,B,1,1,01011,R4,2023,2267,1191
T0,Low +,B,1,1,01011,R4,2407,3087,1274
T0,Low +,B,1,1,01011,R4,2356,2808,1156
T0,Low +,B,1,1,01011,R4,2272,2946,1784
T0,Low +,B,1,1,01011,R4,1867,2050,3031
T0,Low +,B,1,1,01011,R4,2029,2355,1040
T0,Low +,B,1,1,01011,R4,2135,2463,1054
T0,Low +,B,1,1,01011,R4,1725,2365,2050
T0,Low +,B,1,1,01011,R4,2429,2768,1970
T0,Low +,B,1,1,01011,R4,1941,2370,1466
T0,Low +,B,1,1,01011,R4,2070,2510,2789
T0,Low +,B,1,1,01011,R4,1791,2788,1227
T0,Low +,B,1,1,01011,R4,2176,3234,986
T0,Low +,B,1,1,01011,R4,1940,2972,2004
T0,Low +,B,1,1,01011,R4,2070,2760,1816
T0,Low +,B,1,1,01011,R4,1835,2102,1895
T0,Low +,B,1,1,01011,R4,1600,1919,1053
T0,Low +,B,1,1,01011,R4,1952,2365,985
T0,Low +,B,1,1,01011,R4,1306,2168,1142
T0,Low +,B,1,1,01011,R4,2082,3209,1906
T0,Low +,B,1,1,01011,R4,2255,2975,2894
T0,Low +,B,1,1,01011,R4,2034,2540,3070
T0,Low +,B,1,1,01011,R4,2081,3042,1381
T0,Low +,B,1,1,01011,R4,2265,2033,1813
T0,Low +,B,1,1,01011,R4,2274,3244,1006
T0,Low +,B,1,1,01011,R4,1601,2546,2832
T0,Low +,B,1,1,01011,R4,1273,1968,1152
T0,Low +,B,1,1,01011,R4,2605,3359,1320
T0,Low +,B,1,1,01011,R4,1565,1828,2570
T0,Low +,B,1,1,01011,R4,2102,2942,1130
T0,Low +,B,1,1,01011,R4,1809,2321,2834
T0,Low +,B,1,1,01011,R4,1736,2661,1085
T0,Low +,B,1,1,01011,R4,2116,2306,2080
T0,Low +,B,1,1,01011,R4,1852,2187,924
T0,Low +,B,1,1,01011,R4,2551,2190,1645
T0,Low +,B,1,1,01011,R4,1810,2548,1952
T0,Low +,B,1,1,01011,R4,1615,2299,3032
T0,Low +,B,1,1,01011,R4,2026,2760,3590
