Condition,timefit,Time,Gate,TOF,Extinction,Green,logGreen
CM25,0,T0,R5,2229,3194,290,5.669880923
CM25,0,T0,R5,2475,2459,158,5.062595033
CM25,0,T0,R5,1925,2185,222,5.402677382
CM25,0,T0,R5,2150,2794,159,5.068904202
CM25,0,T0,R5,2548,3426,396,5.981414211
CM25,0,T0,R5,2250,3197,461,6.133398043
CM25,0,T0,R5,2593,3426,116,4.753590191
CM25,0,T0,R5,2499,2380,173,5.153291594
CM25,0,T0,R4,2656,3591,1716,7.44775128
CM25,0,T0,R2,2329,3307,1167,7.062191632
CM25,0,T0,R2,2290,2938,816,6.704414355
CM25,0,T0,R4,2334,3004,1861,7.528869257
CM25,0,T0,R4,2601,2475,2520,7.832014181
CM25,0,T0,R5,2242,3114,87.5,4.471638793
CM25,0,T0,R4,1694,2742,2995,8.004699511
CM25,0,T0,R2,1695,2777,754,6.625392368
CM25,0,T0,R5,2508,3205,199,5.293304825
CM25,0,T0,R4,2504,3424,2602,7.864035659
CM25,0,T0,R5,1927,3222,161,5.081404365
CM25,0,T0,R5,2558,3130,391,5.96870756
CM25,0,T0,R5,2666,3257,564,6.335054251
CM25,0,T0,R5,2247,3175,393,5.973809612
CM25,0,T0,R4,2149,2327,1644,7.404887576
CM25,0,T0,R4,2707,3356,1284,7.157735484
CM25,0,T0,R5,1918,3122,279,5.631211782
CM25,0,T0,R5,2406,3107,451,6.11146734
CM25,0,T0,R4,2563,3259,1719,7.449498005
CM25,0,T0,R4,2700,3869,3115,8.043984431
CM25,0,T0,R4,2456,3032,4068,8.310906757
CM25,0,T0,R4,2539,2971,2755,7.921172722
CM25,0,T0,R2,2363,3080,1111,7.01301579
CM25,0,T0,R5,1848,1783,151,5.017279837
CM25,0,T0,R4,2376,3195,4146,8.329899293
CM25,0,T0,R4,1634,2472,1366,7.21964204
CM25,0,T0,R4,2624,3565,3216,8.07589363
CM25,0,T0,R5,2325,2911,160,5.075173815
CM25,0,T0,R5,2492,3018,448,6.104793232
CM25,0,T0,R4,2892,3882,1729,7.455298486
CM25,0,T0,R4,2395,3383,1801,7.496097345
CM25,0,T0,R2,1888,2622,784,6.66440902
CM25,0,T0,R5,1939,3077,213,5.361292166
CM25,0,T0,R4,2047,2759,2112,7.655390645
CM25,0,T0,R2,1648,2272,921,6.825460036
CM25,0,T0,R2,2165,2966,509,6.232448017
CM25,0,T0,R4,2666,3662,4130,8.326032686
CM25,0,T0,R4,1989,2534,1995,7.598399329
CM25,0,T0,R4,1901,2284,3048,8.022240917
CM25,0,T0,R4,2552,3110,2863,7.959625305
CM25,0,T0,R4,2086,2005,3535,8.170468578
CM25,0,T0,R5,2262,2600,437,6.079933195
CM25,0,T0,R4,1899,2881,2727,7.910957383
CM25,0,T0,R2,1899,2307,637,6.456769656
CM25,0,T0,R2,1738,2674,878,6.777646594
CM25,0,T0,R2,2393,2846,557,6.32256524
